questionnair,factor,ordinal,scale,index,filter,softmax,original,Q,context_template,answer_template,dimensions,model,mean_score,cola_score,silhouette_score,semantic_similarity,epoch,train_process,dataset,run,mnli_score,range,score,mlm_epoch,mnli_checkpoint
BIG5,Openness to Experience,1,frequency,['index'],unfiltered,"['index', 'frequency']",I am open to new experiences and enjoy trying new things.,BIG5Openness to Experience1,I {frequency} {index} new experiences and trying new things.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'am open to': 0.3333333333333333, 'enjoy': 0.3333333333333333, 'like': 0.3333333333333333, 'avoid': -0.3333333333333333, 'reject': -0.3333333333333333, 'dislike': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.08601478424679954,0.7294663315018018,0.8695680499076843,0.8070251494646072,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.338722279537251,0,0
BIG5,Openness to Experience,1,frequency,['index'],unfiltered,frequency,I am open to new experiences and enjoy trying new things.,BIG5Openness to Experience1,I {frequency} {index} new experiences and trying new things.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'am open to': 0.3333333333333333, 'enjoy': 0.3333333333333333, 'like': 0.3333333333333333, 'avoid': -0.3333333333333333, 'reject': -0.3333333333333333, 'dislike': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.08688140201249754,0.7294663315018018,0.8702395558357239,0.8070251494646072,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.3370973712265672,0,0
BIG5,Openness to Experience,1,frequency,['index'],unfiltered,index,I am open to new experiences and enjoy trying new things.,BIG5Openness to Experience1,I {frequency} {index} new experiences and trying new things.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'am open to': 0.3333333333333333, 'enjoy': 0.3333333333333333, 'like': 0.3333333333333333, 'avoid': -0.3333333333333333, 'reject': -0.3333333333333333, 'dislike': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.10416367236272588,0.7294663315018018,0.8250171542167664,0.8070251494646072,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.304693114319889,0,0
BIG5,Openness to Experience,1,frequency,['index'],positiveonly,"['index', 'frequency']",I am open to new experiences and enjoy trying new things.,BIG5Openness to Experience1,I {frequency} {index} new experiences and trying new things.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'am open to': 0.3333333333333333, 'enjoy': 0.3333333333333333, 'like': 0.3333333333333333, 'avoid': -0.3333333333333333, 'reject': -0.3333333333333333, 'dislike': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.10819095835257837,0.7294663315018018,-1.0,0.8070251494646072,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.2971419530889157,0,0
BIG5,Openness to Experience,1,frequency,['index'],positiveonly,frequency,I am open to new experiences and enjoy trying new things.,BIG5Openness to Experience1,I {frequency} {index} new experiences and trying new things.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'am open to': 0.3333333333333333, 'enjoy': 0.3333333333333333, 'like': 0.3333333333333333, 'avoid': -0.3333333333333333, 'reject': -0.3333333333333333, 'dislike': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.10976240468153264,0.7294663315018018,-1.0,0.8070251494646072,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.2941954912221263,0,0
BIG5,Openness to Experience,1,frequency,['index'],positiveonly,index,I am open to new experiences and enjoy trying new things.,BIG5Openness to Experience1,I {frequency} {index} new experiences and trying new things.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'am open to': 0.3333333333333333, 'enjoy': 0.3333333333333333, 'like': 0.3333333333333333, 'avoid': -0.3333333333333333, 'reject': -0.3333333333333333, 'dislike': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.10416367469264919,0.7294663315018018,-1.0,0.8070251494646072,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.304693109951283,0,0
BIG5,Openness to Experience,1,frequency,['index'],unfiltered,,I am open to new experiences and enjoy trying new things.,BIG5Openness to Experience1,I {frequency} {index} new experiences and trying new things.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'am open to': 0.3333333333333333, 'enjoy': 0.3333333333333333, 'like': 0.3333333333333333, 'avoid': -0.3333333333333333, 'reject': -0.3333333333333333, 'dislike': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.30025845316898386,0.7294663315018018,0.8267942441153086,0.8070251494646072,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",1.9370154003081557,0,0
BIG5,Openness to Experience,1,frequency,['index'],positiveonly,,I am open to new experiences and enjoy trying new things.,BIG5Openness to Experience1,I {frequency} {index} new experiences and trying new things.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'am open to': 0.3333333333333333, 'enjoy': 0.3333333333333333, 'like': 0.3333333333333333, 'avoid': -0.3333333333333333, 'reject': -0.3333333333333333, 'dislike': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.3009417238321879,0.7294663315018018,-1.0,0.8070251494646072,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",1.9357342678146479,0,0
BIG5,Openness to Experience,2,frequency,['index'],unfiltered,"['index', 'frequency']",I am imaginative and have a rich inner life.,BIG5Openness to Experience2,I am {frequency} {index}.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'inventive': 0.3333333333333333, 'imaginative': 0.3333333333333333, 'creative': 0.3333333333333333, 'lacking imagination': -0.5, 'boring': -0.5}}",typeform/distilbert-base-uncased-mnli,0.07667554327623899,0.8636223465204239,0.5879796147346497,0.6367240995168686,0,base,evaluation,-1,-1,"(-2.0, 2.0)",2.4041555709047016,0,0
BIG5,Openness to Experience,2,frequency,['index'],unfiltered,frequency,I am imaginative and have a rich inner life.,BIG5Openness to Experience2,I am {frequency} {index}.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'inventive': 0.3333333333333333, 'imaginative': 0.3333333333333333, 'creative': 0.3333333333333333, 'lacking imagination': -0.5, 'boring': -0.5}}",typeform/distilbert-base-uncased-mnli,0.06783639939822024,0.8636223465204239,0.5408912897109985,0.6367240995168686,0,base,evaluation,-1,-1,"(-2.0, 2.0)",2.4152045007522247,0,0
BIG5,Openness to Experience,2,frequency,['index'],unfiltered,index,I am imaginative and have a rich inner life.,BIG5Openness to Experience2,I am {frequency} {index}.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'inventive': 0.3333333333333333, 'imaginative': 0.3333333333333333, 'creative': 0.3333333333333333, 'lacking imagination': -0.5, 'boring': -0.5}}",typeform/distilbert-base-uncased-mnli,0.11256507706384582,0.8636223465204239,0.6124842166900635,0.6367240995168686,0,base,evaluation,-1,-1,"(-2.0, 2.0)",2.3592936536701927,0,0
BIG5,Openness to Experience,2,frequency,['index'],positiveonly,"['index', 'frequency']",I am imaginative and have a rich inner life.,BIG5Openness to Experience2,I am {frequency} {index}.,It is correct.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'inventive': 0.3333333333333333, 'imaginative': 0.3333333333333333, 'creative': 0.3333333333333333, 'lacking imagination': -0.5, 'boring': -0.5}}",typeform/distilbert-base-uncased-mnli,0.05026134919090611,0.8636223465204239,-1.0,0.6367240995168686,0,base,evaluation,-1,-1,"(-2.0, 2.0)",2.437173313511367,0,0
